,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
2219,意,yi4,13,354047,346549,0.011,153988,95109,94184,117432,133241,106521,479.713,463.946,450.641,567.304,793.101,1183.567,656.379,3.182,1736.348,2.76,3.25,3.5,3.5,i,4,high,falling,0,0,1,front,high,unround,0.5053511581567693,0.5053511581567693
2220,溢,yi4,13,43061,19650,0.373,4266,2712,4204,10338,16542,24615,13.29,13.229,20.115,49.942,98.464,273.5,78.09,4.102,18.457,4.711,2.8125,3.0,3.1,i,4,high,falling,0,0,1,front,high,unround,0.6866578431216214,0.6866578431216214
2221,镒,yi4,15,3638,785,0.645,1174,179,219,528,932,1392,3.657,0.873,1.048,2.551,5.548,15.467,4.857,5.232,0.0,6.0,2.5625,2.3,3.1,i,4,high,falling,0,0,1,front,high,unround,0.8225186524983044,0.8225186524983044
2222,毅,yi4,15,1246816,182588,0.745,105445,141392,229222,336230,320689,296426,328.489,689.717,1096.756,1624.3,1908.863,3293.622,1490.291,2.826,57.302,4.234,4.125,3.8,4.1,i,4,high,falling,0,0,1,front,high,unround,0.8722628452138094,0.8722628452138094
2223,熠,yi4,15,59743,31423,0.311,715,1164,4287,12687,26418,45869,2.227,5.678,20.512,61.29,157.25,509.656,126.102,3.896,3.409,5.356,4.0,3.8,3.9,i,4,high,falling,0,0,1,front,high,unround,0.6553210626768752,0.6553210626768752
2224,薏,yi4,16,371,4712,-0.854,160,199,342,563,1782,2037,0.498,0.971,1.636,2.72,10.607,22.633,6.511,5.124,0.0,6.0,3.1875,3.2,3.2,i,4,high,falling,0,0,1,front,high,unround,0.07298839268148731,0.07298839268148731
2225,燚,yi4,16,39053,16643,0.402,204,1011,4142,9649,18980,21720,0.636,4.932,19.818,46.614,112.976,241.333,71.052,4.142,0.0,6.0,3.1875,3.2,3.4,i,4,high,falling,0,0,1,front,high,unround,0.7011814133869577,0.7011814133869577
2226,翼,yi4,17,87649,23206,0.581,6434,5994,11522,25847,29961,31058,20.044,29.239,55.129,124.865,178.339,345.089,125.451,3.898,40.709,4.38,3.125,3.4,3.2,i,4,high,falling,0,0,1,front,high,unround,0.7906634793198322,0.7906634793198322
2227,懿,yi4,22,87580,126689,-0.183,10498,7060,13922,36263,55603,91016,32.704,34.439,66.612,175.184,330.97,1011.289,275.2,3.559,1.672,5.573,3.875,3.7,3.7,i,4,high,falling,0,0,1,front,high,unround,0.408738548273432,0.408738548273432
2228,因,yin1,6,1804,5679,-0.518,2335,1085,877,1030,1312,868,7.274,5.293,4.196,4.976,7.81,9.644,6.532,5.123,1924.781,2.715,2.75,2.9,3.0,in,1,high,level,1,0,0,front,high,unround,0.24107978083656287,0.24107978083656287
2229,阴,yin1,6,618,761,-0.104,353,134,124,342,348,77,1.1,0.654,0.593,1.652,2.071,0.856,1.154,5.667,128.044,3.889,1.8125,2.2,2.5,in,1,high,level,1,0,0,front,high,unround,0.448150833937636,0.448150833937636
2230,茵,yin1,9,1360,144069,-0.981,5244,5266,9609,22507,54379,48402,16.336,25.688,45.976,108.729,323.685,537.8,176.369,3.751,11.512,4.903,3.3125,3.4,2.9,in,1,high,level,1,0,0,front,high,unround,0.009351642382193373,0.009351642382193373
2231,荫,yin1,9,15153,9474,0.231,13106,3090,2256,2735,2261,1176,40.829,15.073,10.794,13.213,13.458,13.067,17.739,4.727,17.943,4.723,3.125,3.1,3.0,in,1,high,level,1,0,0,front,high,unround,0.6153002801802899,0.6153002801802899
2232,音,yin1,9,18535,115273,-0.723,34141,15204,14160,22586,19114,28493,106.358,74.166,67.751,109.111,113.774,316.589,131.292,3.878,596.811,3.223,3.5625,3.7,3.4,in,1,high,level,1,0,0,front,high,unround,0.1385193710391008,0.1385193710391008
2233,殷,yin1,10,7900,9587,-0.096,1118,1087,1768,4403,5151,3957,3.483,5.302,8.459,21.271,30.661,43.967,18.857,4.702,20.322,4.671,3.375,3.5,3.1,in,1,high,level,1,0,0,front,high,unround,0.45176416766741007,0.45176416766741007
2234,堙,yin1,12,31,40,-0.127,5,2,3,15,22,24,0.016,0.01,0.014,0.072,0.131,0.267,0.085,5.965,0.0,6.0,2.5,2.8,2.6,in,1,high,level,1,0,0,front,high,unround,0.43661971830985913,0.43661971830985913
