,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
2292,邮,you2,7,302,126,0.411,31,27,45,109,176,40,0.097,0.132,0.215,0.527,1.048,0.444,0.411,5.85,46.047,4.327,2.625,2.6,2.7,jou,2,mid,rising,0,1,0,back,high,rounded,0.705607476635514,0.705607476635514
2293,油,you2,8,1795,796,0.386,1053,351,357,356,370,104,3.28,1.712,1.708,1.72,2.202,1.156,1.963,5.528,278.405,3.554,2.25,2.7,2.2,jou,2,mid,rising,0,1,0,back,high,rounded,0.6927827093786183,0.6927827093786183
2294,铀,you2,10,929,332,0.473,210,235,212,304,196,104,0.654,1.146,1.014,1.469,1.167,1.156,1.101,5.678,14.856,4.8,2.1875,2.4,2.7,jou,2,mid,rising,0,1,0,back,high,rounded,0.7367168913560667,0.7367168913560667
2295,猷,you2,13,2762,231,0.846,1078,173,221,549,624,392,3.358,0.844,1.057,2.652,3.714,4.356,2.664,5.436,1.351,5.629,3.0,3.1,3.5,jou,2,mid,rising,0,1,0,back,high,rounded,0.9228199131306382,0.9228199131306382
2296,友,you3,4,4988374,1316508,0.582,2758945,1506582,1111919,539334,283604,100213,8594.844,7349.18,5320.187,2605.478,1688.119,1113.478,4445.214,2.352,273.774,3.561,3.75,4.3,3.2,jou,3,low,falling-rising,0,1,1,back,high,rounded,0.7911922855970976,0.7911922855970976
2297,有,you3,6,3206397,841086,0.584,1878805,913129,646371,346041,189333,74895,5852.975,4454.288,3092.684,1671.696,1126.982,832.167,2838.465,2.547,9082.145,2.042,3.125,3.4,2.6,jou,3,low,falling-rising,0,1,1,back,high,rounded,0.7921952976701817,0.7921952976701817
2298,酉,you3,7,5915,1602,0.574,1848,466,414,1719,1415,1651,5.757,2.273,1.981,8.304,8.423,18.344,7.514,5.07,2.765,5.424,3.1875,2.9,3.1,jou,3,low,falling-rising,0,1,1,back,high,rounded,0.7868830650525476,0.7868830650525476
2299,铕,you3,11,225,40,0.698,5,17,24,58,90,71,0.016,0.083,0.115,0.28,0.536,0.789,0.303,5.885,0.0,6.0,2.75,2.1,2.9,jou,3,low,falling-rising,0,1,1,back,high,rounded,0.8490566037735849,0.8490566037735849
2300,又,you4,2,59014,61522,-0.021,45825,29020,19534,10315,9068,6745,142.757,141.561,93.464,49.831,53.976,74.944,92.756,4.028,1807.927,2.743,2.875,2.7,2.6,jou,4,high,falling,0,0,1,back,high,rounded,0.4895964691046658,0.4895964691046658
2301,右,you4,5,10785,3265,0.535,5382,2504,2125,1707,1531,769,16.766,12.215,10.167,8.246,9.113,8.544,10.842,4.927,257.246,3.588,2.875,2.7,2.6,jou,4,high,falling,0,0,1,back,high,rounded,0.7676156583629893,0.7676156583629893
